"ItemID","Description","ItemClass","Category","Material","Style","Color","HeightFt","WidthFt","Retail","Cost"
"CCG1214","Comm cantilever gate 12 x 14 o","Non-stock item","Gate","","","","","","0","0"
"CCG1216","Comm cantilever gate 12 x 16 o","Non-stock item","Gate","","","","","","0","0"
"CCG1218","Comm cantilever gate 12 x 18 o","Non-stock item","Gate","","","","","","0","0"
"CCG1220","Comm cantilever gate 12 x 20 o","Non-stock item","Gate","","","","","","0","0"
"CCG1222","Comm cantilever gate 12 x 22 o","Non-stock item","Gate","","","","","","0","0"
"CCG1224","Comm cantilever gate 12 x 24 o","Non-stock item","Gate","","","","","","0","0"
"CCG1226","Comm cantilever gate 12 x 26 o","Non-stock item","Gate","","","","","","0","0"
"CCG1228","Comm cantilever gate 12 x 28 o","Non-stock item","Gate","","","","","","0","0"
"CCG1230","Comm cantilever gate 12 x 30 o","Non-stock item","Gate","","","","","3","0","0"
"CCG410","Comm cantilever gate 4 x 10 op","Non-stock item","Gate","","","","4","10","0","0"
"CCG412","Comm cantilever gate 4 x 12 op","Non-stock item","Gate","","","","4","12","0","0"
"CCG414","Comm cantilever gate 4 x 14 op","Non-stock item","Gate","","","","4","","0","0"
"CCG416","Comm cantilever gate 4 x 16 op","Non-stock item","Gate","","","","4","","0","0"
"CCG418","Comm cantilever gate 4 x 18 op","Non-stock item","Gate","","","","4","","0","0"
"CCG420","Comm cantilever gate 4 x 20 op","Non-stock item","Gate","","","","4","","0","0"
"CCG422","Comm cantilever gate 4 x 22 op","Non-stock item","Gate","","","","4","","0","0"
"CCG424","Comm cantilever gate 4 x 24 op","Non-stock item","Gate","","","","4","","0","0"
"CCG426","Comm cantilever gate 4 x 26 op","Non-stock item","Gate","","","","4","","0","0"
"CCG428","Comm cantilever gate 4 x 28 op","Non-stock item","Gate","","","","4","","0","0"
"CCG430","Comm cantilever gate 4 x 30 op","Non-stock item","Gate","","","","4","3","0","0"
"CCG510","Comm cantilever gate 5 x 10 op","Non-stock item","Gate","","","","5","10","0","0"
"CCG512","Comm cantilever gate 5 x 12 op","Non-stock item","Gate","","","","5","12","0","0"
"CCG514","Comm cantilever gate 5 x 14 op","Non-stock item","Gate","","","","5","","0","0"
"CCG516","Comm cantilever gate 5 x 16 op","Non-stock item","Gate","","","","5","","0","0"
"CCG518","Comm cantilever gate 5 x 18 op","Non-stock item","Gate","","","","5","","0","0"
"CCG520","Comm cantilever gate 5 x 20 op","Non-stock item","Gate","","","","5","","0","0"
"CCG522","Comm cantilever gate 5 x 22 op","Non-stock item","Gate","","","","5","","0","0"
"CCG524","Comm cantilever gate 5 x 24 op","Non-stock item","Gate","","","","5","","0","0"
"CCG526","Comm cantilever gate 5 x 26 op","Non-stock item","Gate","","","","5","","0","0"
"CCG528","Comm cantilever gate 5 x 28 op","Non-stock item","Gate","","","","5","","0","0"
"CCG530","Comm cantilever gate 5 x 30 op","Non-stock item","Gate","","","","5","3","0","0"
"CCG610","Comm cantilever gate 6 x 10 op","Non-stock item","Gate","","","","6","10","0","0"
"CCG612","Comm cantilever gate 6 x 12 op","Non-stock item","Gate","","","","6","12","0","0"
"CCG614","Comm cantilever gate 6 x 14 op","Non-stock item","Gate","","","","6","","0","0"
"CCG616","Comm cantilever gate 6 x 16 op","Non-stock item","Gate","","","","6","","0","0"
"CCG618","Comm cantilever gate 6 x 18 op","Non-stock item","Gate","","","","6","","0","0"
"CCG620","Comm cantilever gate 6 x 20 op","Non-stock item","Gate","","","","6","","0","0"
"CCG622","Comm cantilever gate 6 x 22 op","Non-stock item","Gate","","","","6","","0","0"
"CCG624","Comm cantilever gate 6 x 24 op","Non-stock item","Gate","","","","6","","0","0"
"CCG626","Comm cantilever gate 6 x 26 op","Non-stock item","Gate","","","","6","","0","0"
"CCG628","Comm cantilever gate 6 x 28 op","Non-stock item","Gate","","","","6","","0","0"
"CCG630","Comm cantilever gate 6 x 30 op","Non-stock item","Gate","","","","6","3","0","0"
"CCG810","Comm cantilever gate 8 x 10 op","Non-stock item","Gate","","","","8","10","0","0"
"CCG812","Comm cantilever gate 8 x 12 op","Non-stock item","Gate","","","","8","12","0","0"
"CCG814","Comm cantilever gate 8 x 14 op","Non-stock item","Gate","","","","8","","0","0"
"CCG816","Comm cantilever gate 8 x 16 op","Non-stock item","Gate","","","","8","","0","0"
"CCG818","Comm cantilever gate 8 x 18 op","Non-stock item","Gate","","","","8","","0","0"
"CCG820","Comm cantilever gate 8 x 20 op","Non-stock item","Gate","","","","8","","0","0"
"CCG822","Comm cantilever gate 8 x 22 op","Non-stock item","Gate","","","","8","","0","0"
"CCG824","Comm cantilever gate 8 x 24 op","Non-stock item","Gate","","","","8","","0","0"
"CCG826","Comm cantilever gate 8 x 26 op","Non-stock item","Gate","","","","8","","0","0"
"CCG828","Comm cantilever gate 8 x 28 op","Non-stock item","Gate","","","","8","","0","0"
"CCG830","Comm cantilever gate 8 x 30 op","Non-stock item","Gate","","","","8","3","0","0"
"CCSS","SELF CLOSING SPRING S.S.","Non-stock item","Other","","","","","","43.86","28.95"
"CD200","14"""" X2"""" COREDRILL BIT","Non-stock item","Other","","","","","","261.54","170"
"CD250","14"""" X2-1/2"""" COREDRILL BIT","Non-stock item","Other","","","","","","307.69","200"
"CD300","14"""" X3"""" COREDRILL BIT","Non-stock item","Other","","","","","3","323.08","210"
"CD350","14"""" X3-1/2"""""""" COREDRILL BIT","Non-stock item","Other","","","","","3","346.15","225"
"CD400","14"""" X4"""" COREDRILL BIT","Non-stock item","Other","","","","","4","384.62","250"
"CDR","1 3/8 x 48 commercial drop rod","Non-stock item","Other","","","","8","4","71.42","28.21"
"CED4","4 CEDARHURST CUSTOM WOOD","Non-stock item","Other","Wood","","","","","214.29","150"
"CED5","5 CEDARHURST CUSTOM WOOD","Non-stock item","Other","Wood","","","","","250","175"
"CED6","6 CEDARHURST CUSTOM WOOD","Non-stock item","Other","Wood","","","","","282.8","197.96"
"CED8","8 CEDARHURST CUSTOM WOOD","Non-stock item","Other","Wood","","","","","321.43","225"
